,rank,singer,title,url,album,genre,lang,views,lyrics
897,898,Joaquina,Los Mejores Años,https://www.letras.com/joaquina/los-mejores-anos/,,,es,81.0,"Solo vine porque están mis amigos La verdad esto no es muy de lo mío No me interesa besar a un extraño Le sostengo el pelo a una niña en el baño ¿A quién engañó? No es tan divertido ¿A quién le creo entre todo este ruido? No es todo el tiempo, tal vez solo a veces Me siento más sola rodeada de gente Y dije que tenía amigos Pero solo en dos confío Y cada vez más Al resto los siento como conocidos Y en 6 meses todos se mudan de Estado Pa' estudiar negocios o ser abogados Me parece absurdo, todo mi futuro Depende de un diploma universitario Dicen que estos son Los mejores años Soy honesta y un poco arbitraria Perfeccionista desde primaria A veces pienso mucho en el futuro Solo quiero mirar hacia atrás con orgullo Y no quiero enfrentar la realidad Que el amor no sea como en películas No sé en que momento será pero asusta Dejar de ser niña para ser adulta Dije que la adolescencia No la entiendo, ni me divierto Pero a veces, quisiera que todo Me importará menos Y a los 17, es raro pensar Que tantas personas se vuelvan extraños Nunca lo he dicho, pero no imagino La vida después de cumplir 24 Dicen que estos son Los mejores años Los mejores años Dicen que son Los mejores años Dicen que son Los mejores años Dicen que son Los mejores años Dicen que son Pasaron 6 meses Todos se mudaron Cumplí 18 Decirlo es tan raro Me parece absurdo Todo mi futuro Dependa de un diploma universitario Dicen que estos son Los mejores años No lo entiendo pero Juro que trato Dicen que estos son Los mejores años"
898,899,Miley Cyrus,Wonder Woman,https://www.letras.com/miley-cyrus/wonder-woman/,Endless Summer Vacation,pop,en,8141.0,"She's a wonder woman She knows what she likes Never know she's broken 'Cause she's always fine She's a million moments Lived a thousand lives Never know she's hopeless Only when she cries When her favorite record's on and she's dancing in the dark She can't stop her eyes from welling up, up She makes sure that no one's 'round to see her fall apart She wants to be thе one that never doеs She's a won't-stop woman Hours on her hands All the pain is polished All the tears are planned But when her favorite record's on and she's dancing in the dark She can't stop her eyes from welling up, up She makes sure that no one's 'round to see her fall apart She wants to be the one that never does She's a wonder woman She knows what she likes Never know she's broken Only when she cries"
899,900,Luis Fonsi,Despacito (part. Daddy Yankee),https://www.letras.com/luis-fonsi/despacito/,Despacito,romantico,es,4848609.0,"¡Ay! Fonsi DY Oh-oh Oh no, oh no Oh, eh-yeh (Daddy) Go! Sí, sabes que ya llevo un rato mirándote Tengo que bailar contigo hoy (DY) Vi que tu mirada ya estaba llamándome Muéstrame el camino, que yo voy (oh) Tú Tú eres el imán y yo soy el metal Me voy acercando y voy armando el plan Solo con pensarlo se acelera el pulso (oh, yeah) Ya Ya me está gustando más de lo normal Todos mis sentidos van pidiendo más Esto hay que tomarlo sin ningún apuro Despacito Quiero respirar tu cuello, despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Despacito Quiero desnudarte a besos, despacito Firmar las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito (¡Sube, sube, sube!) (¡Sube, sube!) Quiero ver bailar tu pelo Quiero ser tu ritmo (uoh-uoh) Que le enseñes a mi boca (uoh-uoh) Tus lugares favoritos (favoritos, favoritos, baby) Déjame sobrepasar Tus zonas de peligro (uoh-uoh) Hasta provocar tus gritos (uoh-uoh) Y que olvides tu apellido (Daddy, DY) Si te pido un beso, ven, dámelo Yo sé que estás pensándolo Llevo tiempo intentándolo Mami, esto es dando y dándolo Sabes que tu corazón conmigo Te hace bam-bam Sabes que esa beba está buscando De mi bam-bam Ven, prueba de mi boca para ver cómo te sabe Quiero, quiero, quiero ver cuánto amor a ti te cabe Yo no tengo prisa, yo me quiero dar el viaje Empezamos lento, después salvaje Pasito a pasito, suave, suavecito Nos vamos pegando, poquito a poquito Cuando tú me besas con esa destreza Veo que eres malicia con delicadeza Pasito a pasito, suave, suavecito Nos vamos pegando, poquito a poquito Y es que esa belleza es un rompecabezas Pero, pa' montarlo, aquí tengo la pieza (oh, yeh) Despacito Quiero respirar tu cuello, despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Despacito Quiero desnudarte a besos, despacito Firmar las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito (¡Sube, sube, sube!) (¡Sube, sube!) Quiero ver bailar tu pelo Quiero ser tu ritmo (uoh-uoh) Que le enseñes a mi boca (uoh-uoh) Tus lugares favoritos (favoritos, favoritos, baby) Déjame sobrepasar Tus zonas de peligro (uoh-uoh) Hasta provocar tus gritos (uoh-uoh) Y que olvides tu apellido Despacito Vamos a hacerlo en una playa en Puerto Rico Hasta que las olas griten: ¡Ay, bendito! Para que mi sello se quede contigo (¡báilalo!) Pasito a pasito, suave, suavecito Nos vamos pegando, poquito a poquito Que le enseñes a mi boca (uoh-uoh) Tus lugares favoritos (favoritos, favoritos, baby) Pasito a pasito, suave, suavecito Nos vamos pegando, poquito a poquito Hasta provocar tus gritos (Fonsi) Y que olvides tu apellido (DY) Despacito"
900,901,Muse,Can't Take My Eyes Off You,https://www.letras.com/muse/169598/,,alternativo,en,677282.0,"You're just too good to be true Can't keep my eyes off you You feel like heaven to touch I wanna hold you so much At long last love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you Pardon the way that I stare There's nothing else to compare The sight of you makes me weak There are no words left to speak But if you feel like I feel Please, let me know that it's real You're just too good to be true Can't take my eyes off you I love you, baby And if it's quite all right I need you, baby To warm the lonely nights I love you, baby Trust in me when I say Oh, pretty baby Don't bring me down, I pray Oh, pretty baby Now that I found you, stay And let me love you, baby Let me love you You're just too good to be true Can't keep my eyes off you You feel like heaven to touch I wanna hold you so much At long last love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you I love you, baby And if it's quite all right I need you, baby To warm the lonely nights I love you, baby Trust in me when I say Oh, pretty baby Don't bring me down, I pray Oh, pretty baby Now that I found this day Let me love you, baby Let me love you"
901,902,Morat,A Dónde Vamos,https://www.letras.com/morat/a-donde-vamos/,¿A Dónde Vamos?,poprock,es,13339.0,"Recuerdo verte de perfil Perdona si no fui sutil Era verano y yo moría de sed Cuando te vi, solo quise beber Beber de ti, de ti, de ti Y emborracharme, así, de ti No hay trago que sepa tan bien Como tus labios en Madrid Y no sé, no sé, no sé Cómo pude convencerte Y no sé, no sé, no sé Fue el destino o fue la suerte Que siendo un extraño, te dije te amo Te he estado buscando por más de mil años Y tú respondiste: ¿A dónde vamos? Contra las apuestas, aquí nos quedamos Viviendo de fiesta, después del verano En el que respondiste: ¿A dónde vamos? Y aunque la historia no estaba prevista Somos la prueba de que existe amor a primera vista No dejo de mirarte ni un segundo Cuando tú estás, desaparece el mundo Mejores noches, yo no creo que existan Y, aunque me pida otra cerveza Solo me interesa beber de ti, de ti, de ti Emborracharme, así, de ti Porque no hay trago que sepa tan bien (no, no) Como tus labios en Madrid Y no sé, no sé, no sé Cómo pude convencerte (cómo pude convencerte) Y no sé, no sé, no sé Fue el destino o fue la suerte Que siendo un extraño, te dije te amo Te he estado buscando por más de mil años Y tú respondiste: ¿A dónde vamos? Contra las apuestas, aquí nos quedamos Viviendo de fiesta, después del verano En el que respondiste: ¿A dónde vamos? Y aunque la historia no estaba prevista Somos la prueba de que existe amor a primera vista ¡Hey! ¡Hey! ¡Hey! ¡Hey! ¡Hey! Hoy somos la prueba de que dos extraños Con algo de suerte, por más de mil años Se siguen diciendo: ¿A dónde vamos? Contra las apuestas, aquí nos quedamos Viviendo de fiesta, después del verano En el que respondiste: ¿A dónde vamos? (¿A dónde vamos?) Y aunque la historia no estaba prevista (la historia no vuelve) Y aunque la gente, a veces, se resista (la gente no ve) Somos la prueba de que existe amor a primera vista"
902,903,ABBA,"Money, Money, Money",https://www.letras.com/abba/65887/,Arrival,disco,en,151030.0,"I work all night, I work all day To pay the bills I have to pay Ain't it sad? And still, there never seems to be A single penny left for me That's too bad In my dreams, I have a plan If I got me a wealthy man I wouldn't have to work at all I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah, ah All the things I could do If I had a little money It's a rich man's world A man like that is hard to find But I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game My life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah, ah All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah, ah All the things I could do If I had a little money It's a rich man's world It's a rich man's world"
903,904,Julio Melgar,Ya No Soy Esclavo,https://www.letras.com/julio-melgar/ya-no-soy-esclavo/,,gospelreligioso,es,20429.0,"Me envuelves hoy con una canción Melodía de tu amor Cantas libertad en mi adversidad Hasta que huya el temor Ya no soy un esclavo del temor Yo soy hijo de Dios Ya no soy un esclavo del temor Yo soy hijo de Dios (na-na-ra-na-na) Desde el vientre fui escogido en ti Me llamó el amor De nuevo nací recibido en ti Tu sangre en mí fluyó Ya no soy un esclavo del temor, yo soy hijo de Dios Ya no soy un esclavo del temor, yo soy hijo de Dios Ya no soy un esclavo del temor, yo soy hijo de Dios Ya no soy un esclavo del temor, yo soy hijo de Dios (na-na-ra-na-na) Estoy rodeado y por los brazos del padre Estoy rodeado por canciones de libertad Fuimos liberados de ataduras Somos los hijos y las hijas Cantaremos Libres Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh Oh, oh, oh, oh, oh Abriste el mar para que yo camine Tu amor ahogó todo el temor Me rescataste y yo cantaré Yo soy hijo de Dios Yo soy hijo de Dios Yo soy hijo de Dios Yo solo sé que yo soy su hijo Y él es mi padre, y mi padre me ama Yo solo sé que yo soy su hijo Y él es mi padre, y mi padre me ama Yo solo sé que yo soy su hijo Y él es mi padre, y mi padre me ama Yo solo sé que yo soy su hijo Y él es mi padre, y mi padre me ama (ama, ama, ama) Yo solo sé que yo soy su hijo Y él es mi padre, y mi padre me ama"
904,905,The Beatles,And I Love Her,https://www.letras.com/the-beatles/192/,A Hard Day's Night,rock-roll,en,663046.0,I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her
905,906,LISA (BLACKPINK),MONEY,https://www.letras.com/lisa-blackpink/money/, LALISA  ,k-pop,en,294655.0,"It's the end of the month and the weekend I'ma spend this check, everything on me, yeah I'ma tip myself, I'ma spend it on myself I'ma drop it like it's pouring I'ma pour it on myself Check, check, check, check that money Making bank account number (yikes) That's that shit that's never getting bounced on ya Bitch, I do the money dance I just made a hundred bands When the store says Sign for it, I'ma leave my autograph Dolla' bills, dolla' bills Watch it fallin' for me I love the way that feels Dolla' bills, dolla' bills Keep on fallin' for me I love the way it feels I came here to drop some money Dropping all my money Drop some money, all this bread So yummy, yeah Twerking, twerking, when I buy the things I like Dolla', dollas dropping on my ass tonight Everyone silent Listen to my money talk Spend how I like it Yeah, everyone know what I mean, mean When they see green When they see green, that mean' go Give me what the hell I want Give me what the hell I want Check that money Making bank account number (yikes) That's that shit that's never getting bounced on ya Bitch, I do the money dance I just made a hundred bands When the store says Sign for it, I'ma leave my autograph Dolla' bills, dolla' bills Watch it fallin' for me I love the way that feels Dolla' bills, dolla' bills Keep on fallin' for me I love the way it feels I came here to drop some money Dropping all my money Drop some money, all this bread So yummy, yeah Twerking, twerking, when I buy the things I like Dolla', dollas dropping on my ass tonight (Drop some money, dropping all my money) (Drop some money, all this bread so yummy, yeah) Drop some money, dropping all my money Drop some money, all this bread so yummy, yeah My money moves, money I choose Celine my shoes, walking on you My money rules My money moves, money I choose Watch how my wons and yens and dollars Be dropping on you, you, you (Dun, dun-dun-dun-dun-dun) (Dun, dun-dun-dun-dun-dun-dun) (Dun, dun-dun-dun-dun-dun, dun, dun) Dropping on you (Dun, dun-dun-dun-dun-dun) (Dun, dun-dun-dun-dun-dun-dun) (Dun, dun-dun-dun-dun-dun, dun, dun) Dropping on you"
906,907,6ix9ine,Bori (part. Lenier),https://www.letras.com/6ix9ine/bori-part-lenier/,,hip-hop-rap,es,1920.0,"Hmm, yeah, ayy-ayy-ayy Hmm, na-na-na-na-na, eh-eh Hoy quiero confesarme, confesar mis pecado' Quiero contarle mi historia, que a nadie se le ha conta'o Cuando tenía siete años, mamá y papá se separaron Fueron poco' lo' momento' bueno' Y fueron muchos los momento' malo' Yo nunca tuve juguete', a mí Santa Claus nunca me dio regalo' Yo solo tuve una guitarra sin cuerda, y un micrófono de palo Aprendí de los falso' amigo', aprendí a ignorar lo' ingrato' Pero siempre caminé con los pies sobre la tierra porque no tuve zapatos Sufrir me tocó a mí en esta vida Llorar cuando ni lágrima' tenía Pero siempre supe que mi suerte llegaría El chamaquito del barrio, la leyenda viva Cuando no había pan pal desayuno, me conformaba Cuando no había carro, caminaba Antes me sentía el dueño de todo Ahora soy el mismo bobo con dinero y fama Ahora me miran los que ayer no me miraban Ahora me tiran los mismos que me ignoraban Ante' perdía, nunca ganaba Y ahora en este juego soy la ficha que faltaba Pero mi padre a mí me cuida desde arriba (Desde arriba) Y por el buen camino él me guía (Él me guía) Y yo solo le pido que me dé salú', y bendición pa' mi familia (Familia) Eh-eh-eh Eh-eh-eh Eh-eh-eh-eh-eh Eh-eh-oh Eh-eh Ahora tengo gente que me odia Ahora tengo gente que me quiere Dicen que los hombres como yo, no se olvidan ni se mueren Sufrir me tocó a mí en esta vida Llorar cuando ni lágrima' tenía Pero siempre supe que mi suerte llegaría El chamaquito del barrio, la leyenda viva"
907,908,Polimá Westcoast,"ULTRA SOLO (remix) (part. Pailita, Paloma Mami, Feid y De la Ghetto)",https://www.letras.com/polima-westcoast/ultra-solo-remix-part-pailita-paloma-mami-feid-y-de-la-ghetto/,ULTRA SOLO REMIX,hip-hop-rap,es,3205.0,"Hoy es uno de eso' día' que me siento sola en casa Triste porque estar pendiente de ti, me hace mal Subiré un par de historia' como si nada me pasa Supertriste verte con otra en Instagram Este es uno eso' día' que no todo sale bien Pero prefiero sentirme así que volver (Remix) Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Prendí un bareto y leí tu conversación Leyendo lo que me decía', todo se me paró Nadie llena el vacío que dejas en mi habitación Qué hueva yo que te volví a dedicar otra canción No-no sé si llamará o si responderá Solo sé que tengo gana' de culearme— Algún día yo sé que tú me extrañarás Sí vas a llamar sin ropita por cámara Pa' verte to'a Bebé, los perros también se enamoran Si tú nunca te saliste de mi cora Es que tú baila' de una forma que provoca tenerte y tocarte Y aquí estoy sin ata'o Prendiendo un phillie solo y corona'o ¿De qué sirve si no está' a mi la'o? Por ti, paso el día conecta'o Pendiente al cel, pendiente a ti Pendiente si subes una story Pendiente pa' ver si, sola, está' feliz Y como no está' aquí Hoy es uno de esos día' que me siento solo en casa Yo aquí triste porque te vi en el historial Subiré un par de historia' y te escribiré en el WhatsApp Supertriste verte con otro en Instagram Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Ultra sola, ultra rica Perdiste senda gatita Ahora vivo a lo maldita De la calle, ¿quién me quita? Estoy cura' del espanto como una Blinky Combina' to' rosa como Hello Kitty En un bichiputeo, se sube la mini Hoy ando desacatada pa' olvidar los feelings Pero últimamente, cuando caen las 3 A.M Quisiera llamarte, aunque yo sé que no conviene Las noches son fría', aunque me encuentre entre la gente Papi, no hay carrete que te saque de mi mente Y aquí estoy, ultra sola Pensando en que me cambiaste por otra Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Y aquí estoy, ultra sola Pensando en que me cambiaste por otra Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Hoy me siento solo, me siento en un desierto Es una pesadilla, pero estando despierto Sin ti, yo estoy triste, y contigo, contento El tiempo pasa lento, quizá no era el momento Aún me acuerdo de esa noche que estaba bailando Y tú, en la discoteca, me estaba' mirando Pusieron la canción que yo escuchaba llorando Fuiste mi estrella fuga', yo te paso deseando En la noche extrañándote En la disco había mil y yo pensándote Con esa carita, estás tentándome Aunque sé que, por dentro, esta' dañándome, yeah Puras poesía', por la noche, te dedicaría Y aún sabiendo que tú, a mí, me dañarías Ya no me siento solo, tengo otra que me hace compañía Y ella cumple lo que tú me prometías Tus besos me saben a miel Yo quiero tocarte la piel Quiero que tú sea' mi mujer No quiero que la vayamo' a vender Mi amor sincero te puedo ofrecer Miremo' juntito' el atardecer mientra' nos estamo' besando Yo quiero que tú sea' mi Champions Súper, mega, ultra solo Y no puedo darte unfollow Dicen que los hombre' no lloran Por ese culito, lloro Ba-baby girl, me siento triste Desde que te fuiste, mami, no salgo del dispen Viendo la foto que subiste Y ahora, pa' colmo, los video' haciendo fitness Es que ahora te ando buscando por New York City Yo aquí, solo, capsuleando una miti-miti Y mezclando el alcohol con las picky-picky Mami, déjame probarte, aunque sea un quicky Vuelve ya, que me dolió Tú me quiere', ma, eso creo yo Si tú no vira', esto se jodió Si te veo con él, se murió Vuelve ya, que me dolió Tú me quiere', ma, eso creo yo Si tú no vira', esto se jodió (Remix) Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo Y aquí estoy, ultra solo Pensando en que me cambiaste por otro Pensando en cómo lo perdimos todo Pensando en cómo lo perdimos todo"
908,909,Emmy Meli,I Am Woman,https://www.letras.com/emmy-meli/i-am-woman/,,pop,en,795227.0,"I am woman, I am fearless I am sexy, I'm divine I'm unbeatable, I'm creative Honey, you can get in line I am feminine, I am masculine I am anything I want I can teach you, I can love you If you got it going on If you got it, got it, got it, got it, got it, got it If you got it, got it, got it, got it, got it going on Got it, got it, got it, got it, got it, got it, got it If you got it, got it, got it, got it, got it going on Got it on going on, ya (Got it, got it, got it, got it, got it going on) (Got it, got it, got it, got it, got it going on, yeah) I'm classy, I'm modern, I live by my own design I'm cherry, I'm lemon, I'm the sweetest key lime pie I'm electric, I'm bass, I'm the beat of my own drum I could make your goosebumps raise With the tracing of my thumb Only love can get inside me I move in my own timing Voice of the future speak to me kindly I feel what I want and somehow it finds me Somehow it finds me Somehow it finds me Yeah! Hey, hey! I am woman, I am fearless I am sexy, I'm divine I'm unbeatable, I'm creative Honey, you can get in line I am feminine, I am masculine I am anything I want I can teach you, I can love you If you got it going on If you got it, got it, got it, got it, got it, got it If you got it, got it, got it, got it, got it going on Got it, got it, got it, got it, got it, got it, got it If you got it, got it, got it, got it, got it going on Got it on going on, ya (Got it, got it, got it, got it, got it going on) (Got it, got it, got it, got it, got it going on, yeah) Hear no evil, speak no evil I am not the one to curse They can talk that shit about you Long as you know that it's false I am earthly, I am heaven I am what I like to be When I ask for what I want Somehow it finds me Somehow it finds me Yeah! Hey, hey! I am woman, I am fearless I am sexy, I′m divine I′m unbeatable, I'm creative Honey, you can get in line I am feminine, I am masculine I am anything I want I can teach you, I can love you If you got it going on If you got it, got it, got it, got it Got it, got it, got it going on Got it going on, got it going on, got it going on"
909,910,Marshmello,Happier (feat. Bastille),https://www.letras.com/marshmello/happier-feat-bastille/,,eletronica,en,1581842.0,"Lately, I've been, I've been thinking I want you to be happier, I want you to be happier When the morning comes When we see what we've become In the cold light of day we're a flame in the wind Not the fire that we begun Every argument, every word we can't take back 'Cause with all that has happened I think that we both know the way that the story ends Then only for a minute I want to change my mind 'Cause this just don't feel right to me I wanna raise your spirits I want to see you smile But know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier When the evening falls And I'm left there with my thoughts And the image of you being with someone else Well, it's eating me up inside But we run our course, we pretend that we're okay Now if we jump together, at least we can swing Far away from the wreck we made Then only for a minute I want to change my mind 'Cause this just don't feel right to me I wanna raise your spirits I want to see you smile But know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier So I'll go, I'll go I will go, go, go So I'll go, I'll go I will go, go, go Lately, I've been, I've been thinking I want you to be happier, I want you to be happier Even though I might not like this I think that you'll be happier, I want you to be happier Then only for a minute I want to change my mind 'Cause this just don't feel right to me I wanna raise your spirits I want to see you smile But know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier So I'll go, I'll go I will go, go, go"
910,911,Barak,La Tierra Canta,https://www.letras.com/barak/la-terra-canta/,Geración Radical,gospelreligioso,es,36511.0,"Se abren los cielos Se escucha un sonido celestial Unido a las voces De un pueblo que te quiere adorar El Espíritu de Dios Se mueve libre en este lugar El padre alegre esta Al ver la novia unirse adorar Se escucha La tierra canta El cielo adora Y todos gritan Que tú eres santo La tierra canta El cielo adora Y todos gritan Que tú eres santo Se abren los cielos Se escucha un sonido celestial Unidas las voces De tu pueblo que te quiere adorar El Espíritu de Dios Se mueve libre en este lugar El padre alegre está Al ver la novia unirse adorar La tierra canta El cielo adora Y todos gritan Que tú eres santo La tierra canta El cielo adora Y todos gritan Que tú eres santo La tierra canta El cielo adora Y todos gritan Que tú eres santo La tierra canta El cielo adora Y todos gritan Que tú eres santo Ángeles se unen hoy Cantamos a una sola voz Santo, Santo Ángeles se unen hoy Cantamos a una sola voz Santo, Santo Ángeles se unen hoy Cantamos a una sola voz Santo, Santo Ángeles se unen hoy Cantamos a una sola voz Santo, santo La tierra canta El cielo adora Y todos gritan"
911,912,Ingrid Rosario,El Poder de Tu Amor,https://www.letras.com/ingrid-rosario/por-el-poder-de-tu-amor/,Canta al Señor,gospelreligioso,es,31936.0,"Vengo a ti, Señor Cámbiame, renuévame Por la gracia que Encontré en ti Ahora sé que las Debilidades que hay en mí Desvanecerán Por el poder de tu amor Cúbreme Con tu amor rodéame Tómame, cerca quiero estar Y al esperar Nuevas fuerzas, yo tendré Y me levantaré Como las águilas Por el poder de tu amor Yo te quiero ver Cara a cara, oh, Señor Y conocer así más de ti En mí Prepárame, Señor Para hacer tu voluntad Viviendo cada día Por el poder de tu amor Cúbreme Con tu amor rodéame Tómame, cerca quiero estar Y al esperar Nuevas fuerzas, yo tendré Y me levantaré Como las águilas Por el poder de tu amor Cúbreme Con tu amor rodéame Tómame, cerca quiero estar Y al esperar Nuevas fuerzas, yo tendré Y me levantaré Como las águilas Por el poder de tu amor"
912,913,Kevin Kaarl,San Lucas,https://www.letras.com/kevin-kaarl/san-lucas/,San Lucas,alternativo,es,8760.0,"Dile ya a tus papás Que no vas a regresar Te vas con un loco que No te para de amar A vivir salvajes, libres Libres allá en San Lucas Tus ojos brillan más Que la Luna, Sol y mar Quiero desnudar tu alma Y dedicarle una canción Darle todo mi cariño Y entregarle mi amor Que bonito tu vestido blanco Ella baila, que ella baila con encanto Mira, mira, corazón, olvida el miedo que hay en ti Es que deja de sufrir, todo aquello ya paso Grita y ponte ya a vivir Que todo va a salir mejor Si escapas de vivir allá Llorando siempre en tu habitación Dile ya a tus papás Que no vas a regresar Te vas con un loco que No te para de amar A vivir salvajes, libres Libres allá en San Lucas Tus ojos brillan más Que la Luna, Sol y mar Desnudar tu alma y dedicarle una canción Desnudar tu alma y dedicarle una canción Que toda tu mirada me demuestre tu amor Desnudar tu alma y dedicarle una canción"
913,914,Miel San Marcos,Increíble (En Vivo),https://www.letras.com/miel-san-marcos/increible/,,gospelreligioso,es,2713.0,"Poderoso, invencible Admirable, grande, fuerte Dios Rey de reyes, asombroso Incomparable Eres increíble Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, exaltado estás Poderoso, invencible Admirable, grande, fuerte Dios Rey de reyes, asombroso Incomparable Eres increíble Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, eres increíble Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, exaltado estás ¡Aleluya! Increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú (Grita) Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú (Más alto) (Todos juntos) Eres increíble Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, eres incre- Uoh-oh-oh Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, exaltado estás Uoh-oh-oh Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble Mi Dios, solo Tú, solo Tú ¿Cuántos tienen un Dios increíble, aquí? Su palabra dice Así como es su nombre, que así sea su alabanza Todo el que tenga un Dios increíble Le va a alabar de una manera increíble esta noche ¿Alguien dice amén? Tómele la mano a alguien Y dígale: Vamos a exaltar con todas las fuerzas al Dios increíble Desde México para todas las naciones Uno, dos y tres, arriba ¡Qué alguien grite! Dilo fuerte, todos juntos Eres increíble  todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, eres incre- Todopoderoso, grande Eres increíble Venciste las tinieblas Cristo, exaltado estás Uoh-oh-oh Mi Dios, solo Tú, solo Tú Tú eres increíble, invencible Mi Dios, solo Tú, solo Tú Tú eres increíble (Que alguien grite)"
914,915,Patrick Watson,Je Te Laisserai Des Mots,https://www.letras.com/patrick-watson/je-te-laisserai-des-mots/,,,fr,325473.0,Je te laisserai des mots En dessous de ta porte En dessous de la lune qui chantent Tout près de la place où tes pieds passent Cachés dans les trous du temps d'hiver Et quand tu es seule pendant un instant Embrasse-moi Quand tu voudras Embrasse-moi Quand tu voudras Embrasse-moi Quand tu voudras
915,916,Hillsong en Español,Hosanna,https://www.letras.com/hillsong-en-espaol/1697989/,,gospelreligioso,es,42863.0,"Veo al Rey de gloria Viene con fuego y poder Todos verán Todos verán Veo Su amor y gracia Mi pecado perdonó Le alabaré Le alabaré Hosanna Hosanna Hosanna en las alturas Hosanna Hosanna Hosanna en las alturas Veo cómo se levanta Una gran generación Con compasión Con compasión Veo avivamiento Al buscarte y al orar Me postraré Me postraré Hosanna Hosanna Hosanna en las alturas Hosanna Hosanna Hosanna en las alturas Sáname y límpiame Con mis ojos, Tus obras quiero ver Quiero amarte como Tú me amas Muéstrame Tu corazón Todo lo que soy por Tu reino, Dios Contigo quiero estar por la eternidad Hosanna Hosanna Hosanna en las alturas Hosanna Hosanna Hosanna en las alturas Hosanna Hosanna Hosanna en las alturas Hosanna en las alturas Hosanna en las alturas Hosanna en las alturas Hosanna en las alturas Hosanna"
916,917,Billy Bunster,Ya Se Oye El Shofar,https://www.letras.com/billy-bunster/ya-se-oye-el-shofar/,,,es,156.0,"Ya se oye el Shofar En los cielos se oirá A Su amada Él Está llamando Ven, ven, ven Señor Esperándote está tu novia"
